Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,0.030782422152674738,8.295755483706749e-08,0.06284904379650658,0.06351619027041888,1.1798547624719309,1.1156197495903255,0.1156055332948924,0.12308728483328644,0.2341543404971133,0.025408665181084245,0.06685838767198828,1.2276632205989387e-09,0.008039746744284319,0.11220676557669587,2.820809803516377e-10
2,0.036225163035214926,1.1603082084026137e-06,0.06622031629309412,0.05509655026038002,1.1888458110045141,1.1030975845615516,0.12794195734935693,0.1300843183449819,0.2278410319248029,0.023696807765522014,0.06501539794406183,5.322380104946903e-09,0.038682068849056325,0.08540263944801288,4.269013982575712e-09
3,0.039896500153162304,0.0001339321889577232,0.0688107194821158,0.05187930102682915,1.1940622002324102,1.0972662707880096,0.13736620456027068,0.1342394125361304,0.22270893387880683,0.023791085271013254,0.06336621406263918,1.908431495876391e-08,0.06514565471300389,0.061979123818070005,6.453349232914457e-09
4,0.041796433506516864,0.00039839859980279896,0.0706202533635716,0.053864442569766274,1.1955039301556187,1.0981258082696992,0.14387827492763355,0.13555256740673183,0.21875804635912505,0.02569149769755795,0.06191083602772034,4.251346778204997e-08,0.08743050433612701,0.04193621868686722,6.835086731367872e-09
5,0.04192502278510733,0.0007591853481832543,0.07146821388280951,0.06001707676621635,1.193400352464579,1.1041687889339673,0.1475553608755878,0.13403536317064046,0.21586154929171708,0.029059644783298377,0.060514774600577644,7.076907821212992e-08,0.10416579332139866,0.02683777284482787,5.646737215393642e-09
6,0.040282626127906125,0.0010040472787368384,0.07027037671191767,0.06412781487832944,1.189127577301932,1.1063507643449002,0.14886061694898656,0.12975728111098156,0.21325852223234149,0.03186512495708825,0.058371094348845465,7.480658407295297e-08,0.10712657528665724,0.026066879034492053,4.283365109737906e-09
7,0.03686930322474197,0.0010976101989031751,0.06684603779624401,0.06516175878313048,1.1829149563581165,1.1031643264298443,0.14787123557197202,0.12272990144160928,0.21082214510695774,0.03376953795706982,0.05534530603379613,4.978522500184393e-08,0.09494202583487568,0.0411873860462831,2.9774811518583484e-09
8,0.03187837833840283,0.0010297231989440047,0.061965337006367985,0.06356797137777011,1.175271951586698,1.095665054836643,0.14408062410767564,0.11323260216039675,0.2091621324230827,0.034351639276715626,0.05198383867821497,3.230577327016345e-09,0.0694420138048234,0.06928387910973463,1.9595026305179367e-09
9,0.026469797045616403,0.00073948082042976,0.06024911356576574,0.062040830045151804,1.1692553347090617,1.0901864274523472,0.13444922673488555,0.10294165125458216,0.21193677122581644,0.031083961876860668,0.05156526641881351,-1.9703900982248903e-08,0.04160575222911625,0.09286386960204804,2.6119332782944593e-09
10,0.02083688360917063,0.00021673215362218076,0.06246750734501666,0.06102939768242617,1.165374567678772,1.0877840239247991,0.11847045081673316,0.09213642672203856,0.2197557760226756,0.02354526125097747,0.05463601827837704,-1.1492633597738329e-08,0.013263109946523596,0.10901194275275686,5.165190383950881e-09
